country,player_name,player_club,in_top_5_league,player_age,market_value,market_value_int
Peru,Pedro Gallese,Deportivo Cali,False,36,€400k,400000
Peru,Steven Rivadeneyra,Sport Boys Association,False,31,€350k,350000
Peru,Daniel Prieto,Alianza Atlético Sullana,False,30,€150k,150000
Peru,Emile Franco,ADA Jaén,False,25,€150k,150000
Peru,Gianfranco Chávez,Club Alianza Lima,False,27,€600k,600000
Peru,Gustavo Dulanto,Sport Boys Association,False,30,€400k,400000
Peru,Jhair Soto,Asociación Deportiva Tarma,False,22,€350k,350000
Peru,Rafael Guzmán,Real Betis Balompié U19,False,18,,0
Peru,Mathías Llontop,Sport Boys Association,False,23,€500k,500000
Peru,Sebastián Aranda,Sport Boys Association,False,22,€275k,275000
Peru,Erick Canales,Deportivo Garcilaso,False,24,€500k,500000
Peru,Carlos Cabello,Asociación Deportiva Tarma,False,28,€450k,450000
Peru,Marco Huamán,Club Alianza Lima,False,23,€400k,400000
Peru,Jorge Murrugarra,Universitario de Deportes,False,28,€500k,500000
Peru,Alfonso Barco,HNK Rijeka,False,24,€500k,500000
Peru,Jesús Castillo,Club Alianza Lima,False,29,€450k,450000
Peru,Hernan Lupu,Alianza Atlético Sullana,False,22,€350k,350000
Peru,Álvaro Rojas,Club Cienciano,False,20,€450k,450000
Peru,Cristian Neira,Club Atlético Grau,False,25,€400k,400000
Peru,Rodrigo Vilca,Comerciantes Unidos,False,26,€375k,375000
Peru,Bassco Soyer,Gil Vicente U23,False,19,€200k,200000
Peru,Piero Magallanes,Sport Huancayo,False,24,€450k,450000
Peru,Matías Succar,Club Cienciano,False,27,€300k,300000
Peru,Juan Martínez,Sport Huancayo,False,21,€100k,100000
Peru,Juan Pablo Goicochea,Defensor Sporting Club,False,21,,0
India,Hrithik Tiwari,FC Goa,False,24,€200k,200000
India,Gurpreet Singh Sandhu,Bengaluru FC,False,34,€200k,200000
India,Sahil Poonia,Bengaluru FC,False,19,€25k,25000
India,Sandesh Jhingan,FC Goa,False,32,€275k,275000
India,Anwar Ali,East Bengal FC,False,25,€275k,275000
India,Bikash Yumnam,Kerala Blasters FC,False,22,€200k,200000
India,Pramveer,Punjab FC,False,18,€75k,75000
India,Akash Mishra,Mumbai City FC,False,24,€225k,225000
India,Jay Gupta,East Bengal FC,False,24,€100k,100000
India,Valpuia,Mumbai City FC,False,25,€200k,200000
India,Rahul Bheke,Bengaluru FC,False,35,€125k,125000
India,Suresh Singh,Bengaluru FC,False,25,€250k,250000
India,Nikhil Prabhu,Punjab FC,False,25,€225k,225000
India,Macarton Louis Nickson,NorthEast United FC,False,21,€125k,125000
India,Lalremtluanga F,Bengaluru FC,False,21,€100k,100000
India,Brison Fernandes,FC Goa,False,24,€225k,225000
India,Naorem Mahesh Singh,East Bengal FC,False,27,€225k,225000
India,Sanan Mohammed K,Jamshedpur FC,False,21,€200k,200000
India,Ryan Williams,Bengaluru FC,False,32,€300k,300000
India,Lallianzuala Chhangte,Mumbai City FC,False,28,€275k,275000
India,Vikram Partap Singh,Mumbai City FC,False,24,€200k,200000
India,Edmund Lalrindika,East Bengal FC,False,26,€125k,125000
India,Rahim Ali,Odisha FC,False,25,€125k,125000
Marshall Islands,Matt Perrella,,False,34,,0
Marshall Islands,Jon Koehler,UnknownUnknown,False,44,,0
Marshall Islands,Josiah Blanton,Without ClubWithout Club,False,24,,0
Marshall Islands,Gladius Edejer,UnknownUnknown,False,18,,0
Marshall Islands,Matt Webb,Sidmouth Town,False,35,,0
Marshall Islands,Danny Razook,UnknownUnknown,False,40,,0
Marshall Islands,Ben Hill,UnknownUnknown,False,19,,0
Marshall Islands,Jaya Corder,UnknownUnknown,False,18,,0
Marshall Islands,Dominic Pace,UnknownUnknown,False,19,,0
Marshall Islands,Patrick Phelon,UnknownUnknown,False,39,,0
Marshall Islands,Cullen Turanga,UnknownUnknown,False,19,,0
Marshall Islands,Zach London,UnknownUnknown,False,15,,0
Marshall Islands,Dave Nigro,Jackson Lions FC,False,30,,0
